cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Name_ru,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,duplicated
Бахмут,"вул. Торгова, 1","Бахмут, вул. Торгова, 1",09:00 - 16:00,0,True,Bakhmut,Бахмут,Бахмут,UA1402001001,Bakhmutska,Бахмутська,Бахмутская,UA1402001,Bakhmutskyi,Бахмутський,Бахмутский,UA1402,Donetska,Донецька,Донецкая,UA14,False
Бердянськ,"вул. Консульська, 75з","Бердянськ, вул. Консульська, 75з",09:00 - 15:00,0,True,Berdiansk,Бердянськ,Бердянск,UA2302005001,Berdianska,Бердянська,Бердянская,UA2302005,Berdianskyi,Бердянський,Бердянский,UA2302,Zaporizka,Запорізька,Запорожская,UA23,False
Бердянськ,"вул. Свободи, 27в","Бердянськ, вул. Свободи, 27в",09:00 - 15:00,0,True,Berdiansk,Бердянськ,Бердянск,UA2302005001,Berdianska,Бердянська,Бердянская,UA2302005,Berdianskyi,Бердянський,Бердянский,UA2302,Zaporizka,Запорізька,Запорожская,UA23,False
Бердянськ,"вул. Софіївська, 40","Бердянськ, вул. Софіївська, 40",09:00 - 15:00,6000,True,Berdiansk,Бердянськ,Бердянск,UA2302005001,Berdianska,Бердянська,Бердянская,UA2302005,Berdianskyi,Бердянський,Бердянский,UA2302,Zaporizka,Запорізька,Запорожская,UA23,False
Бердянськ,"просп. Східний, 220","Бердянськ, просп. Східний, 220",09:00 - 15:00,0,True,Berdiansk,Бердянськ,Бердянск,UA2302005001,Berdianska,Бердянська,Бердянская,UA2302005,Berdianskyi,Бердянський,Бердянский,UA2302,Zaporizka,Запорізька,Запорожская,UA23,False
Біла Церква,"вул. Героїв Небесної Сотні, 2а","Біла Церква, вул. Героїв Небесної Сотні, 2а",зачинено,0,False,,,,,,,,,,,,,,,,,True
Біла Церква,"шосе Сквирське, 230","Біла Церква, шосе Сквирське, 230",зачинено,0,False,,,,,,,,,,,,,,,,,True
Біла Церква,"вул. Ярослава Мудрого, 40","Біла Церква, вул. Ярослава Мудрого, 40",зачинено,6000,True,,,,,,,,,,,,,,,,,True
Бориспіль,"вул. Київський Шлях, 76","Бориспіль, вул. Київський Шлях, 76",зачинено,0,False,Boryspil,Бориспіль,Борисполь,UA3204001001,Boryspilska,Бориспільська,Бориспольская,UA3204001,Boryspilskyi,Бориспільський,Бориспольский,UA3204,Kyivska,Київська,Киевская,UA32,False
Боярка,"кв. 103 Боярське Лісництво, 1","Боярка, кв. 103 Боярське Лісництво, 1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Боярка,"вул. Магістральна, 40","Боярка, вул. Магістральна, 40",зачинено,0,False,,,,,,,,,,,,,,,,,True
Бровари,"вул. Київська, 241","Бровари, вул. Київська, 241",зачинено,0,False,Brovary,Бровари,Бровары,UA3206005001,Brovarska,Броварська,Броварская,UA3206005,Brovarskyi,Броварський,Броварский,UA3206,Kyivska,Київська,Киевская,UA32,False
Васильків,"вул. Соборна, 64/1","Васильків, вул. Соборна, 64/1",зачинено,6000,True,,,,,,,,,,,,,,,,,True
Вишгород,"вул. Набережна, 11","Вишгород, вул. Набережна, 11",зачинено,0,False,Vyshhorod,Вишгород,Вышгород,UA3210001001,Vyshhorodska,Вишгородська,Вышгородская,UA3210001,Vyshhorodskyi,Вишгородський,Вышгородский,UA3210,Kyivska,Київська,Киевская,UA32,False
Вінниця,"вул. 600-річчя, 17-Е","Вінниця, вул. 600-річчя, 17-Е",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Вінниця,"пл. Гагаріна, 2","Вінниця, пл. Гагаріна, 2",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Вінниця,"вул. Зодчих, 2","Вінниця, вул. Зодчих, 2",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Вінниця,"вул. Келецька, 105","Вінниця, вул. Келецька, 105",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
