cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled
Бахмут,"вул. Торгова, 1","Бахмут, вул. Торгова, 1",зачинено,0,True
Бердянськ,"вул. Консульська, 75з","Бердянськ, вул. Консульська, 75з",зачинено,0,False
Бердянськ,"вул. Свободи, 27в","Бердянськ, вул. Свободи, 27в",09:00 - 15:00,0,True
Бердянськ,"вул. Софіївська, 40","Бердянськ, вул. Софіївська, 40",09:00 - 15:00,0,False
Бердянськ,"просп. Східний, 220","Бердянськ, просп. Східний, 220",09:00 - 15:00,0,True
Біла Церква,"вул. Героїв Небесної Сотні, 2а","Біла Церква, вул. Героїв Небесної Сотні, 2а",08:30 - 18:00,6000,True
Біла Церква,"шосе Сквирське, 230","Біла Церква, шосе Сквирське, 230",зачинено,6000,True
Біла Церква,"вул. Ярослава Мудрого, 40","Біла Церква, вул. Ярослава Мудрого, 40",08:30 - 18:00,6000,True
Бориспіль,"вул. Київський Шлях, 67","Бориспіль, вул. Київський Шлях, 67",зачинено,0,False
Бориспіль,"вул. Київський Шлях, 76","Бориспіль, вул. Київський Шлях, 76",зачинено,0,False
Боярка,"кв. 103 Боярське Лісництво, 1","Боярка, кв. 103 Боярське Лісництво, 1",зачинено,0,False
Боярка,"вул. Магістральна, 40","Боярка, вул. Магістральна, 40",зачинено,0,False
Бровари,"вул. Київська, 156","Бровари, вул. Київська, 156",зачинено,0,False
Бровари,"вул. Київська, 241","Бровари, вул. Київська, 241",зачинено,6000,True
Буча,"бул. Бірюкова Леоніда, 2","Буча, бул. Бірюкова Леоніда, 2",зачинено,0,False
Васильків,"вул. Грушевського, 19","Васильків, вул. Грушевського, 19",зачинено,6000,True
Васильків,"вул. Соборна, 64/1","Васильків, вул. Соборна, 64/1",зачинено,6000,True
Вишгород,"вул. Набережна, 11","Вишгород, вул. Набережна, 11",зачинено,6000,True
Вінниця,"вул. 600-річчя, 17-Е","Вінниця, вул. 600-річчя, 17-Е",09:00 - 19:00,6000,True
Вінниця,"пл. Гагаріна, 2","Вінниця, пл. Гагаріна, 2",09:00 - 18:30,6000,True
Вінниця,"вул. Зодчих, 2","Вінниця, вул. Зодчих, 2",09:00 - 19:00,6000,True
Вінниця,"вул. Келецька, 105","Вінниця, вул. Келецька, 105",09:00 - 19:00,6000,True
Вінниця,"вул. Келецька, 121","Вінниця, вул. Келецька, 121",09:00 - 19:00,6000,True
Вінниця,"просп. Космонавтів, 49","Вінниця, просп. Космонавтів, 49",09:00 - 19:00,6000,True
Вінниця,"вул. Оводова Миколи, 51","Вінниця, вул. Оводова Миколи, 51",09:00 - 18:30,6000,True
Вінниця,"просп. Юності, 18","Вінниця, просп. Юності, 18",зачинено,0,False
Віта-Поштова,"вул. Звенигородська, 200д","Віта-Поштова, вул. Звенигородська, 200д",09:00 - 18:00,6000,True
Дніпро,"пл. Вокзальна, 13","Дніпро, пл. Вокзальна, 13",08:00 - 17:00,6000,True
Дніпро,"просп. Гагаріна, 3","Дніпро, просп. Гагаріна, 3",08:00 - 17:00,6000,True
Дніпро,"вул. Європейська, 18a","Дніпро, вул. Європейська, 18a",07:00 - 17:00,6000,True
Дніпро,"бул. Катеринославський, 1","Дніпро, бул. Катеринославський, 1",08:00 - 17:00,6000,True
Дніпро,"вул. Кондратюка Юрія, 4","Дніпро, вул. Кондратюка Юрія, 4",08:00 - 17:00,6000,True
Дніпро,"пров. Крушельницької, 6а","Дніпро, пров. Крушельницької, 6а",зачинено,6000,True
Дніпро,"вул. Новокримська, 3а","Дніпро, вул. Новокримська, 3а",08:00 - 17:00,6000,True
Дніпро,"вул. Пастера, 6А","Дніпро, вул. Пастера, 6А",08:00 - 17:00,6000,True
Дніпро,"бул. Слави, 5","Дніпро, бул. Слави, 5",08:00 - 17:00,6000,True
Дніпро,"просп. Слобожанський, 31д","Дніпро, просп. Слобожанський, 31д",09:00 - 17:00,6000,True
Дніпро,"просп. Слобожанський, 76/78","Дніпро, просп. Слобожанський, 76/78",08:00 - 17:00,6000,True
Дніпро,"вул. Титова, 36","Дніпро, вул. Титова, 36",зачинено,6000,True
Дніпро,"вул. Тополина, 1","Дніпро, вул. Тополина, 1",08:00 - 17:00,6000,True
Дніпро,"вул. Фабра Андрія, 7","Дніпро, вул. Фабра Андрія, 7",08:00 - 17:00,6000,True
Дніпрорудне,"вул. Героїв Праці, 11","Дніпрорудне, вул. Героїв Праці, 11",зачинено,0,False
Дрогобич,"вул. Володимира Великого, 7","Дрогобич, вул. Володимира Великого, 7",08:00 - 20:00,6000,True
Дружківка,"вул. Соборна, 32а","Дружківка, вул. Соборна, 32а",09:00 - 16:00,0,True
Енергодар,"просп. Будівельників, 45","Енергодар, просп. Будівельників, 45",09:00 - 16:00,6000,True
Енергодар,"вул. Українська, 27 а","Енергодар, вул. Українська, 27 а",09:00 - 16:30,6000,True
Житомир,"вул. Грушевського Михайла, 5","Житомир, вул. Грушевського Михайла, 5",09:00 - 17:00,6000,True
Житомир,"майд. Житній Ринок, 1","Житомир, майд. Житній Ринок, 1",08:00 - 17:00,6000,True
Запоріжжя,"вул. Бородінська, 20б","Запоріжжя, вул. Бородінська, 20б",09:00 - 17:30,6000,True
Запоріжжя,"бул. Вінтера, 30","Запоріжжя, бул. Вінтера, 30",08:30 - 17:00,0,True
Запоріжжя,"вул. Іванова, 1а","Запоріжжя, вул. Іванова, 1а",08:30 - 17:30,6000,True
Запоріжжя,"просп. Металургів, 8 б","Запоріжжя, просп. Металургів, 8 б",08:30 - 17:30,6000,True
Запоріжжя,"вул. Новокузнецька, 41","Запоріжжя, вул. Новокузнецька, 41",зачинено,0,False
Запоріжжя,"вул. Перемоги, 64","Запоріжжя, вул. Перемоги, 64",09:00 - 17:30,0,True
Запоріжжя,"просп. Преображенського Інженера , 13","Запоріжжя, просп. Преображенського Інженера , 13",зачинено,0,True
Запоріжжя,"вул. Руставі, 1г","Запоріжжя, вул. Руставі, 1г",08:30 - 17:30,6000,True
Запоріжжя,"вул. Сергієнка Василя, 9","Запоріжжя, вул. Сергієнка Василя, 9",зачинено,0,False
Запоріжжя,"вул. Ситова, 4","Запоріжжя, вул. Ситова, 4",08:30 - 17:00,6000,True
Запоріжжя,"просп. Соборний, 147","Запоріжжя, просп. Соборний, 147",08:30 - 17:30,6000,True
Запоріжжя,"вул. Фортечна, 6","Запоріжжя, вул. Фортечна, 6",08:30 - 17:00,6000,True
Запоріжжя,"шосе Хортицьке, 30а","Запоріжжя, шосе Хортицьке, 30а",08:30 - 17:00,6000,True
Запоріжжя,"вул. Чарівна, 155б","Запоріжжя, вул. Чарівна, 155б",08:30 - 17:00,6000,True
Запоріжжя,"вул. Чарівна, 74","Запоріжжя, вул. Чарівна, 74",08:30 - 17:00,6000,True
Івано-Франківськ,"вул. Дністровська, 3","Івано-Франківськ, вул. Дністровська, 3",08:00 - 20:00,6000,True
Івано-Франківськ,"вул. Мазепи, 168а","Івано-Франківськ, вул. Мазепи, 168а",зачинено,0,False
Івано-Франківськ,"бул. Північний ім. Пушкіна, 2а","Івано-Франківськ, бул. Північний ім. Пушкіна, 2а",08:00 - 20:00,6000,True
Ірпінь,"вул. Чехова, 27","Ірпінь, вул. Чехова, 27",зачинено,0,False
Калуш,"майд. Шептицького, 7","Калуш, майд. Шептицького, 7",зачинено,0,False
Кам’янець-Подільський,"вул. Гагаріна, 42/1","Кам’янець-Подільський, вул. Гагаріна, 42/1",зачинено,6000,True
Кам’янець-Подільський,"шосе Нігинське, 41/1","Кам’янець-Подільський, шосе Нігинське, 41/1",08:00 - 19:00,6000,True
Кам’янець-Подільський,"вул. Українки Лесі, 30","Кам’янець-Подільський, вул. Українки Лесі, 30",08:00 - 19:00,6000,True
Кам’янське,"просп. Шевченка, 9","Кам’янське, просп. Шевченка, 9",08:00 - 17:00,6000,True
Канів,"вул. Енергетиків, 12А","Канів, вул. Енергетиків, 12А",08:00 - 19:00,6000,True
Київ,"вул. Антоновича, 165","Київ, вул. Антоновича, 165",зачинено,0,False
Київ,"вул. Архипенка Олександра, 6","Київ, вул. Архипенка Олександра, 6",08:00 - 19:00,6000,True
Київ,"вул. Багговутівська, 17-21","Київ, вул. Багговутівська, 17-21",зачинено,6000,False
Київ,"вул. Бальзака Оноре, 91/29а","Київ, вул. Бальзака Оноре, 91/29а",08:00 - 19:00,6000,True
Київ,"просп. Бандери Степана, 36","Київ, просп. Бандери Степана, 36",09:00 - 17:00,6000,True
Київ,"вул. Басейна, 6","Київ, вул. Басейна, 6",09:00 - 18:00,6000,True
Київ,"вул. Бережанська, 22","Київ, вул. Бережанська, 22",09:00 - 18:00,6000,True
Київ,"вул. Берковецька, 6д","Київ, вул. Берковецька, 6д",зачинено,0,False
Київ,"вул. Білоруська, 2","Київ, вул. Білоруська, 2",зачинено,6000,True
Київ,"вул. Борщагівська, 154a","Київ, вул. Борщагівська, 154a",08:00 - 17:00,6000,True
Київ,"вул. Братиславська, 14Б","Київ, вул. Братиславська, 14Б",зачинено,6000,True
Київ,"вул. Булгакова, 11а","Київ, вул. Булгакова, 11а",зачинено,0,False
Київ,"вул. Велика Окружна, 1","Київ, вул. Велика Окружна, 1",зачинено,0,False
Київ,"вул. Вербицького Архітектора, 1а","Київ, вул. Вербицького Архітектора, 1а",зачинено,0,False
Київ,"вул. Вербицького Архітектора, 30","Київ, вул. Вербицького Архітектора, 30",08:30 - 18:00,6000,True
Київ,"вул. Вершигори Петра, 1","Київ, вул. Вершигори Петра, 1",зачинено,6000,True
Київ,"вул. Вишгородська, 21","Київ, вул. Вишгородська, 21",09:00 - 18:00,6000,True
Київ,"просп. Героїв Сталінграда, 12п","Київ, просп. Героїв Сталінграда, 12п",зачинено,6000,True
Київ,"просп. Героїв Сталінграда, 27Б","Київ, просп. Героїв Сталінграда, 27Б",09:00 - 18:00,6000,True
Київ,"просп. Героїв Сталінграда, 46","Київ, просп. Героїв Сталінграда, 46",зачинено,6000,True
Київ,"просп. Героїв Сталінграда, 8а","Київ, просп. Героїв Сталінграда, 8а",зачинено,6000,True
Київ,"вул. Глибочицька, 32б","Київ, вул. Глибочицька, 32б",зачинено,6000,False
Київ,"вул. Гончара Олеся, 96","Київ, вул. Гончара Олеся, 96",зачинено,6000,True
Київ,"просп. Григоренка Петра, 23","Київ, просп. Григоренка Петра, 23",зачинено,6000,True
Київ,"бул. Дарницький, 8а","Київ, бул. Дарницький, 8а",09:00 - 19:00,6000,True
Київ,"наб. Дніпровська, 12","Київ, наб. Дніпровська, 12",зачинено,0,False
Київ,"наб. Дніпровська, 33","Київ, наб. Дніпровська, 33",зачинено,0,False
Київ,"вул. Дорогожицька, 2","Київ, вул. Дорогожицька, 2",зачинено,6000,True
Київ,"вул. Драгоманова, 10","Київ, вул. Драгоманова, 10",08:00 - 18:00,6000,True
Київ,"вул. Драгомирова Михайла, 16","Київ, вул. Драгомирова Михайла, 16",зачинено,0,False
Київ,"вул. Драйзера Теодора, 8","Київ, вул. Драйзера Теодора, 8",зачинено,0,False
Київ,"вул. Жилянська, 107","Київ, вул. Жилянська, 107",зачинено,0,False
Київ,"вул. Закревського Миколи, 61/2","Київ, вул. Закревського Миколи, 61/2",зачинено,6000,True
Київ,"вул. Западинська, 15","Київ, вул. Западинська, 15",зачинено,6000,True
Київ,"вул. Здолбунівська, 4","Київ, вул. Здолбунівська, 4",08:30 - 18:00,6000,True
Київ,"вул. Івашкевича Ярослава, 6-8 А","Київ, вул. Івашкевича Ярослава, 6-8 А",зачинено,0,False
Київ,"вул. Інженерна, 1","Київ, вул. Інженерна, 1",зачинено,0,False
Київ,"вул. Калнишевського Петра, 2","Київ, вул. Калнишевського Петра, 2",зачинено,6000,True
Київ,"пров. Карельський, 3","Київ, пров. Карельський, 3",зачинено,6000,True
Київ,"вул. Кибальчича Миколи, 11А","Київ, вул. Кибальчича Миколи, 11А",зачинено,6000,True
Київ,"бул. Кольцова, 14м","Київ, бул. Кольцова, 14м",зачинено,0,False
Київ,"вул. Конєва маршала, 7","Київ, вул. Конєва маршала, 7",зачинено,0,False
Київ,"вул. Коновальця Євгена, 26а","Київ, вул. Коновальця Євгена, 26а",09:00 - 18:00,6000,True
Київ,"вул. Лаврухіна, 4","Київ, вул. Лаврухіна, 4",08:00 - 19:00,6000,True
Київ,"вул. Липківського Василя митрополита, 1а","Київ, вул. Липківського Василя митрополита, 1а",зачинено,6000,True
Київ,"просп. Лісовий, 39","Київ, просп. Лісовий, 39",09:00 - 19:00,6000,True
Київ,"вул. Магнітогорська, 1а","Київ, вул. Магнітогорська, 1а",зачинено,0,False
Київ,"вул. Малевича, 107","Київ, вул. Малевича, 107",09:00 - 18:00,6000,True
Київ,"вул. Малиновського, 34","Київ, вул. Малиновського, 34",зачинено,0,False
Київ,"вул. Малиновського, 5","Київ, вул. Малиновського, 5",08:00 - 18:00,6000,True
Київ,"просп. Маяковського, 43/2","Київ, просп. Маяковського, 43/2",зачинено,6000,True
Київ,"просп. Маяковського, 75/2","Київ, просп. Маяковського, 75/2",зачинено,6000,True
Київ,"вул. Милославська, 10а","Київ, вул. Милославська, 10а",зачинено,6000,True
Київ,"вул. Мишуги Олександра, 4","Київ, вул. Мишуги Олександра, 4",зачинено,6000,True
Київ,"просп. Мінський, 4а","Київ, просп. Мінський, 4а",09:00 - 17:00,6000,True
Київ,"просп. Оболонський, 19","Київ, просп. Оболонський, 19",зачинено,6000,True
Київ,"просп. Оболонський, 1Б","Київ, просп. Оболонський, 1Б",09:00 - 19:00,6000,False
Київ,"просп. Оболонський, 21Б","Київ, просп. Оболонський, 21Б",09:00 - 19:00,6000,True
Київ,"просп. Оболонський, 36б","Київ, просп. Оболонський, 36б",зачинено,0,False
Київ,"вул. Оленівська, 3","Київ, вул. Оленівська, 3",зачинено,6000,True
Київ,"просп. Перемоги, 24","Київ, просп. Перемоги, 24",09:00 - 18:00,6000,True
Київ,"просп. Перемоги, 47","Київ, просп. Перемоги, 47",зачинено,6000,True
Київ,"просп. Перемоги, 87","Київ, просп. Перемоги, 87",зачинено,6000,True
Київ,"просп. Перемоги, 94/1","Київ, просп. Перемоги, 94/1",зачинено,0,False
Київ,"бул. Перова, 36","Київ, бул. Перова, 36",09:00 - 18:00,6000,True
Київ,"вул. Північна, 6в","Київ, вул. Північна, 6в",09:00 - 17:00,6000,True
Київ,"вул. Підлісна, 1","Київ, вул. Підлісна, 1",зачинено,6000,True
Київ,"просп. Повітрофлотський, 66","Київ, просп. Повітрофлотський, 66",зачинено,0,False
Київ,"вул. Полярна, 20д","Київ, вул. Полярна, 20д",зачинено,0,False
Київ,"просп. Порика Василя, 5","Київ, просп. Порика Василя, 5",зачинено,6000,True
Київ,"просп. Правди, 58","Київ, просп. Правди, 58",зачинено,6000,True
Київ,"просп. Правди, 66","Київ, просп. Правди, 66",зачинено,6000,True
Київ,"вул. Райдужна, 15","Київ, вул. Райдужна, 15",09:00 - 18:00,6000,True
Київ,"вул. Райдужна, 8","Київ, вул. Райдужна, 8",09:00 - 18:00,6000,True
Київ,"вул. Ревуцького, 12/1","Київ, вул. Ревуцького, 12/1",08:00 - 18:00,6000,True
Київ,"наб. Русанівська, 10","Київ, наб. Русанівська, 10",зачинено,6000,True
Київ,"вул. Сагайдачного, 41","Київ, вул. Сагайдачного, 41",зачинено,0,False
Київ,"вул. Січових Стрільців, 37/41","Київ, вул. Січових Стрільців, 37/41",зачинено,6000,True
Київ,"вул. Скляренка Семена, 17","Київ, вул. Скляренка Семена, 17",зачинено,6000,True
Київ,"пл. Спортивна, 1а","Київ, пл. Спортивна, 1а",09:00 - 18:00,6000,True
Київ,"вул. Срібнокільська, 3","Київ, вул. Срібнокільська, 3",09:00 - 18:00,6000,True
Київ,"вул. Стальського Сулеймана, 22/10","Київ, вул. Стальського Сулеймана, 22/10",09:00 - 17:30,6000,True
Київ,"шосе Столичне, 103","Київ, шосе Столичне, 103",зачинено,0,False
Київ,"просп. Тичини Павла, 1в","Київ, просп. Тичини Павла, 1в",зачинено,6000,True
Київ,"вул. Філатова Академіка, 7","Київ, вул. Філатова Академіка, 7",09:00 - 18:00,6000,True
Київ,"шосе Харківське, 144б","Київ, шосе Харківське, 144б",зачинено,6000,True
Київ,"шосе Харківське, 168","Київ, шосе Харківське, 168",08:30 - 18:00,6000,True
Київ,"шосе Харківське, 21","Київ, шосе Харківське, 21",зачинено,6000,True
Київ,"бул. Чоколівський, 28/1","Київ, бул. Чоколівський, 28/1",09:00 - 18:00,6000,True
Київ,"бул. Чоколівський, 6","Київ, бул. Чоколівський, 6",зачинено,0,False
Київ,"вул. Чорнобильська, 3","Київ, вул. Чорнобильська, 3",зачинено,0,True
Київ,"вул. Шептицького, 22","Київ, вул. Шептицького, 22",зачинено,6000,True
Київ,"вул. Шептицького, 4","Київ, вул. Шептицького, 4",09:00 - 19:00,6000,True
Київ,"вул. Щербаківського Данила, 56/7","Київ, вул. Щербаківського Данила, 56/7",зачинено,6000,True
Київ,"вул. Юри Гната, 20","Київ, вул. Юри Гната, 20",09:00 - 18:00,6000,True
Київ,"вул. Якутська, 8","Київ, вул. Якутська, 8",зачинено,6000,True
Київ,"вул. Ярославська, 56а","Київ, вул. Ярославська, 56а",08:00 - 18:00,6000,True
Коростень,"вул. Героїв Чорнобиля, 11","Коростень, вул. Героїв Чорнобиля, 11",09:00 - 17:00,6000,True
Коростишів,"вул. Київська, 66","Коростишів, вул. Київська, 66",09:00 - 18:00,6000,True
Костопіль,"вул. Грушевського, 29","Костопіль, вул. Грушевського, 29",08:00 - 20:00,6000,True
Краматорськ,"бул. Краматорський, 18","Краматорськ, бул. Краматорський, 18",зачинено,0,False
Краматорськ,"вул. Маяковського, 1м","Краматорськ, вул. Маяковського, 1м",зачинено,0,False
Кременчук,"вул. Халаменюка, 7","Кременчук, вул. Халаменюка, 7",08:00 - 17:00,6000,True
Кривий Ріг,"бул. Вечірній, 33","Кривий Ріг, бул. Вечірній, 33",08:00 - 18:00,6000,True
Кривий Ріг,"пл. Визволення, 1к","Кривий Ріг, пл. Визволення, 1к",08:00 - 18:00,6000,True
Кривий Ріг,"вул. Героїв АТО, 30а","Кривий Ріг, вул. Героїв АТО, 30а",08:00 - 18:00,6000,True
Кривий Ріг,"вул. Лермонтова, 37","Кривий Ріг, вул. Лермонтова, 37",08:00 - 18:00,6000,True
Кропивницький,"вул. Велика Перспективна, 53","Кропивницький, вул. Велика Перспективна, 53",08:00 - 18:00,6000,True
Кропивницький,"вул. Соборна, 22Б","Кропивницький, вул. Соборна, 22Б",зачинено,0,False
Лиманка,"вул. Жемчужна, 5","Лиманка, вул. Жемчужна, 5",08:00 - 18:00,6000,True
Лисичанськ,"просп. Перемоги, 86","Лисичанськ, просп. Перемоги, 86",зачинено,0,False
