cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Бахмут,"вул. Торгова, 1","Бахмут, вул. Торгова, 1",09:00 - 16:00,6000,True,Бахмут,Bakhmut,Бахмутський,UA1402,,Донецька,UA14
Бердянськ,"вул. Консульська, 75з","Бердянськ, вул. Консульська, 75з",09:00 - 15:00,0,True,Бердянськ,Berdyansk,Бердянський,UA2302,,Запорізька,UA23
Бердянськ,"вул. Свободи, 27в","Бердянськ, вул. Свободи, 27в",09:00 - 15:00,0,True,Бердянськ,Berdyansk,Бердянський,UA2302,,Запорізька,UA23
Бердянськ,"вул. Софіївська, 40","Бердянськ, вул. Софіївська, 40",09:00 - 15:00,0,True,Бердянськ,Berdyansk,Бердянський,UA2302,,Запорізька,UA23
Бердянськ,"просп. Східний, 220","Бердянськ, просп. Східний, 220",09:00 - 15:00,0,True,Бердянськ,Berdyansk,Бердянський,UA2302,,Запорізька,UA23
Біла Церква,"вул. Героїв Небесної Сотні, 2а","Біла Церква, вул. Героїв Небесної Сотні, 2а",08:30 - 18:00,6000,True,Біла Церква,Bila Tserkva,Білоцерківський,UA3202,,Київська,UA32
Біла Церква,"шосе Сквирське, 230","Біла Церква, шосе Сквирське, 230",09:00 - 18:00,6000,True,Біла Церква,Bila Tserkva,Білоцерківський,UA3202,,Київська,UA32
Біла Церква,"вул. Ярослава Мудрого, 40","Біла Церква, вул. Ярослава Мудрого, 40",08:30 - 18:00,6000,True,Біла Церква,Bila Tserkva,Білоцерківський,UA3202,,Київська,UA32
Бориспіль,"вул. Київський Шлях, 67","Бориспіль, вул. Київський Шлях, 67",08:00 - 18:00,6000,True,Бориспіль,Boryspil,Бориспільський,UA3204,,Київська,UA32
Бориспіль,"вул. Київський Шлях, 76","Бориспіль, вул. Київський Шлях, 76",08:00 - 18:00,6000,True,Бориспіль,Boryspil,Бориспільський,UA3204,,Київська,UA32
Боярка,"кв. 103 Боярське Лісництво, 1","Боярка, кв. 103 Боярське Лісництво, 1",07:00 - 17:30,6000,True,Боярка,Boyarka,,,,,
Боярка,"вул. Магістральна, 40","Боярка, вул. Магістральна, 40",09:00 - 17:30,6000,True,Боярка,Boyarka,,,,,
Бровари,"вул. Київська, 156","Бровари, вул. Київська, 156",09:00 - 17:00,6000,True,Бровари,Brovary,Броварський,UA3206,,Киевская,UA32
Бровари,"вул. Київська, 241","Бровари, вул. Київська, 241",08:00 - 17:00,6000,True,Бровари,Brovary,Броварський,UA3206,,Киевская,UA32
Васильків,"вул. Соборна, 64/1","Васильків, вул. Соборна, 64/1",08:00 - 17:00,6000,True,Васильків,Vasylkiv,Василівський,UA2304,,Запорізька,UA23
Вишгород,"вул. Набережна, 11","Вишгород, вул. Набережна, 11",09:00 - 15:00,6000,True,Вишгород,Vyshhorod,Вишгородський,UA3210,,Київська,UA32
Вінниця,"вул. 600-річчя, 17-Е","Вінниця, вул. 600-річчя, 17-Е",09:00 - 20:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"пл. Гагаріна, 2","Вінниця, пл. Гагаріна, 2",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"вул. Зодчих, 2","Вінниця, вул. Зодчих, 2",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"вул. Келецька, 105","Вінниця, вул. Келецька, 105",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"вул. Келецька, 121","Вінниця, вул. Келецька, 121",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"просп. Космонавтів, 49","Вінниця, просп. Космонавтів, 49",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"вул. Оводова Миколи, 51","Вінниця, вул. Оводова Миколи, 51",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Вінниця,"просп. Юності, 18","Вінниця, просп. Юності, 18",09:00 - 19:00,6000,True,Вінниця,Vinnytsia,Вінницький,UA0502,,Вінницька,UA05
Віта-Поштова,"вул. Звенигородська, 200д","Віта-Поштова, вул. Звенигородська, 200д",09:00 - 18:00,6000,True,Віта-Поштова,Vita-Poshtova,,,,,
Дніпро,"пл. Вокзальна, 13","Дніпро, пл. Вокзальна, 13",08:00 - 17:00,6000,True,Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
