cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Біла Церква,"вул. Героїв Небесної Сотні, 2а","Біла Церква, вул. Героїв Небесної Сотні, 2а",з 08:00 до 22:00,6000,True,Bila Tserkva,Біла Церква,UA3202001001,Bilotserkivska,Білоцерківська,UA3202001,Bilotserkivskyi,Білоцерківський,UA3202,Kyivska,Київська,UA32
Біла Церква,"шосе Сквирське, 230","Біла Церква, шосе Сквирське, 230",з 08:00 до 22:00,6000,True,Bila Tserkva,Біла Церква,UA3202001001,Bilotserkivska,Білоцерківська,UA3202001,Bilotserkivskyi,Білоцерківський,UA3202,Kyivska,Київська,UA32
Біла Церква,"вул. Ярослава Мудрого, 40","Біла Церква, вул. Ярослава Мудрого, 40",з 08:00 до 22:00,6000,True,Bila Tserkva,Біла Церква,UA3202001001,Bilotserkivska,Білоцерківська,UA3202001,Bilotserkivskyi,Білоцерківський,UA3202,Kyivska,Київська,UA32
Запоріжжя,"вул. Бородінська, 20б","Запоріжжя, вул. Бородінська, 20б",з 07:30 до 22:00,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"бул. Вінтера, 30","Запоріжжя, бул. Вінтера, 30",з 07:30 до 21:00,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Іванова, 1а","Запоріжжя, вул. Іванова, 1а",з 07:00 до 22:00,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"просп. Металургів, 8 б","Запоріжжя, просп. Металургів, 8 б",з 07:30 до 21:30,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Новокузнецька, 41","Запоріжжя, вул. Новокузнецька, 41",з 08:00 до 21:30,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Перемоги, 64","Запоріжжя, вул. Перемоги, 64",з 08:00 до 22:00,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"просп. Преображенського Інженера , 13","Запоріжжя, просп. Преображенського Інженера , 13",з 07:30 до 21:30,6000,True,Zaporizhzhia,Запоріжжя,UA2306007001,Zaporizka,Запорізька,UA2306007,Zaporizkyi,Запорізький,UA2306,Zaporizka,Запорізька,UA23
